problem                                 |round                              |level   |solved
--------------------------------------------------------------------------------------------
TreeDistanceConstruction                |SRM 704                            |1       |True 
ModEquation                             |SRM 704                            |2       |False
HamiltonianConstruction                 |SRM 704                            |3       |False
DAGConstruction                         |SRM 703                            |1       |False
CoastGuard                              |SRM 703                            |2       |False
AutomorphicGraph                        |SRM 703                            |3       |False
MealPlan                                |2016 TCO Final                     |1       |False
SwappingParentheses                     |2016 TCO Final                     |2       |False
HamiltonianPaths                        |2016 TCO Final                     |3       |False
SpecialClique                           |2016 TCO Semi 2                    |1       |False
TreeSorter                              |2016 TCO Semi 2                    |2       |False
XorRank                                 |2016 TCO Semi 2                    |3       |False
NonCoprimeGraph                         |2016 TCO Semi 1                    |1       |False
MinimumCutsAgain                        |2016 TCO Semi 1                    |2       |False
ColorfulPath                            |2016 TCO Semi 1                    |3       |False
GridSortMax                             |SRM 702                            |1       |False
RepeatedStrings                         |SRM 702                            |2       |False
FindingFriends                          |SRM 702                            |3       |False
PartisanGame                            |SRM 701                            |1       |True 
KthStringAgain                          |SRM 701                            |2       |False
FibonacciStringSum                      |SRM 701                            |3       |False
FindingFriend                           |SRM 700                            |1       |True 
CrazyFunctions                          |SRM 700                            |2       |False
AnyNumber                               |SRM 700                            |3       |False
DivideJewelry                           |2016 TCO Fun Round                 |1       |False
ConnectedSubgraph                       |2016 TCO Fun Round                 |2       |False
SplittingFoxes3                         |2016 TCO Fun Round                 |3       |False
OthersXor                               |SRM 699 (Cisco)                    |1       |False
FromToDivisible                         |SRM 699 (Cisco)                    |2       |False
TwoSquares                              |SRM 699 (Cisco)                    |3       |False
RepeatString                            |SRM 698 (Google)                   |1       |False
IntersectingConvexHull                  |SRM 698 (Google)                   |2       |False
Puzzle58                                |SRM 698 (Google)                   |3       |False
DivideJewelry                           |2016 TCO Regional Wildcard         |1       |False
ConnectedSubgraph                       |2016 TCO Regional Wildcard         |2       |False
SplittingFoxes3                         |2016 TCO Regional Wildcard         |3       |False
BuffingPixie                            |2016 TCO Russia Regional           |1       |False
CloneGauntlet2                          |2016 TCO Russia Regional           |2       |False
RiggedLottery                           |2016 TCO Russia Regional           |3       |False
RemoveCharacters                        |2016 TCO Algo 3B                   |1       |False
MaterialImplication                     |2016 TCO Algo 3B                   |2       |False
RPSRobots                               |2016 TCO Algo 3B                   |3       |False
MultiplyXPlusOne                        |2016 TCC India Final               |1       |False
PolygonSet                              |2016 TCC India Final               |2       |False
SumOfXor                                |2016 TCC India Final               |3       |False
MultiplyXPlusOne                        |2016 TCO India Regional            |1       |False
PolygonSet                              |2016 TCO India Regional            |2       |False
SumOfXor                                |2016 TCO India Regional            |3       |False
ParenthesesAndPermutation               |2016 TCO Algo 3A                   |1       |False
FoxAndGo4                               |2016 TCO Algo 3A                   |2       |False
TopologicalOrdering                     |2016 TCO Algo 3A                   |3       |False
DivisibleSetDiv1                        |SRM 697                            |1       |True 
XorOrderDiv1                            |SRM 697                            |2       |False
ConnectedStates                         |SRM 697                            |3       |False
Gperm                                   |SRM 696                            |1       |False
Clicounting                             |SRM 696                            |2       |False
Substreeng                              |SRM 696                            |3       |False
MakingPairs                             |2016 TCC India Online Round        |1       |False
DistinguishableSetDiv2                  |2016 TCC India Online Round        |2       |False
UpDownNess                              |2016 TCC India Online Round        |3       |False
BearPasswordLexic                       |SRM 695                            |1       |False
BearKRoads                              |SRM 695                            |2       |False
BearEmptyCoin                           |SRM 695                            |3       |False
TrySail                                 |SRM 694                            |1       |True 
DistinguishableSetDiv1                  |SRM 694                            |2       |True 
SRMDiv0Easy                             |SRM 694                            |3       |False
BearBall                                |2016 TCO Algo Parallel 2C          |1       |False
BearGridRect                            |2016 TCO Algo Parallel 2C          |2       |False
BearCircleGame                          |2016 TCO Algo Parallel 2C          |3       |False
BearBall                                |2016 TCO Algo 2C                   |1       |False
BearGridRect                            |2016 TCO Algo 2C                   |2       |False
BearCircleGame                          |2016 TCO Algo 2C                   |3       |False
EllysCandyBags                          |2016 TCO NYC Regional              |1       |False
EllysBounceGame                         |2016 TCO NYC Regional              |2       |False
EllysAndor                              |2016 TCO NYC Regional              |3       |False
BiconnectedDiv1                         |SRM 693                            |1       |True 
BipartiteConstruction                   |SRM 693                            |2       |False
TriangleFree                            |SRM 693                            |3       |False
HardProof                               |SRM 692                            |1       |True 
LinenCenter                             |SRM 692                            |2       |True 
TreeSums                                |SRM 692                            |3       |False
GroupSRMDiv2                            |2016 TCO Beijing Regional          |1       |False
DarkMatterParticles                     |2016 TCO Beijing Regional          |2       |False
MagicalMatrix                           |2016 TCO Beijing Regional          |3       |False
TriangleTriples                         |2016 TCO Algo Parallel 2B          |1       |False
FoxAndGemstone                          |2016 TCO Algo Parallel 2B          |2       |False
ParenthesesTree                         |2016 TCO Algo Parallel 2B          |3       |False
TriangleTriples                         |2016 TCO Algo 2B                   |1       |False
FoxAndGemstone                          |2016 TCO Algo 2B                   |2       |False
ParenthesesTree                         |2016 TCO Algo 2B                   |3       |False
LCMGCD                                  |2016 TCO Algo 2A                   |1       |False
CliqueCuts                              |2016 TCO Algo 2A                   |2       |False
VendingMachines                         |2016 TCO Algo 2A                   |3       |False
Sunnygraphs                             |SRM 691                            |1       |True 
Moneymanager                            |SRM 691                            |2       |False
Undivisors                              |SRM 691                            |3       |False
SumFullSet                              |2016 TCO Algo 1C                   |1       |True 
ThreeProgrammers                        |2016 TCO Algo 1C                   |2       |True 
PrimeStrings                            |2016 TCO Algo 1C                   |3       |False
ExploringNumbers                        |2016 TCO Algo 1B                   |1       |True 
ReplacingDigit                          |2016 TCO Algo 1B                   |2       |True 
SettingShield                           |2016 TCO Algo 1B                   |3       |False
ColorfulGarden                          |SRM 689                            |1       |False
MultiplicationTable3                    |SRM 689                            |2       |False
ZeroPointSixThreeSix                    |SRM 689                            |3       |False
ParenthesesDiv1Easy                     |SRM 688                            |1       |False
ParenthesesDiv1Medium                   |SRM 688                            |2       |False
ParenthesesDiv1Hard                     |SRM 688                            |3       |False
AlmostFibonacciKnapsack                 |SRM 687                            |1       |True 
AllGraphCuts                            |SRM 687                            |2       |False
AlienSkiSlopes                          |SRM 687                            |3       |False
EllysTimeMachine                        |2016 TCO Algo 1A                   |1       |True 
EllysSocks                              |2016 TCO Algo 1A                   |2       |True 
EllysTree                               |2016 TCO Algo 1A                   |3       |False
BracketSequenceDiv1                     |SRM 686                            |1       |True 
CyclesNumber                            |SRM 686                            |2       |False
XorPuzzle                               |SRM 686                            |3       |False
MultiplicationTable2                    |SRM 685                            |1       |True 
FoxAirline2                             |SRM 685                            |2       |False
InverseMatrixTree                       |SRM 685                            |3       |False
CliqueParty                             |SRM 684                            |1       |False
DivFree                                 |SRM 684                            |2       |False
Permutant                               |SRM 684                            |3       |False
MoveStones                              |SRM 683                            |1       |True 
GCDLCM2                                 |SRM 683                            |2       |False
RandomWalkOnGrid                        |SRM 683                            |3       |False
SmilesTheFriendshipUnicorn              |SRM 682                            |1       |True 
SuccessfulMerger                        |SRM 682                            |2       |False
TheKFactor                              |SRM 682                            |3       |False
FleetFunding                            |SRM 681                            |1       |False
LimitedMemorySeries2                    |SRM 681                            |2       |False
CoinFlips                               |SRM 681                            |3       |False
BearFair                                |SRM 680                            |1       |True 
BearSpans                               |SRM 680                            |2       |True 
BearPairs                               |SRM 680                            |3       |False
FiringEmployees                         |SRM 679                            |1       |True 
RedAndBluePoints                        |SRM 679                            |2       |False
BagAndCards                             |SRM 679                            |3       |True 
ANewHope                                |SRM 678                            |1       |True 
TheEmpireStrikesBack                    |SRM 678                            |2       |True 
ReturnOfTheJedi                         |SRM 678                            |3       |False
DoubleOrOneEasy                         |SRM 677                            |1       |False
DiameterOfRandomTree                    |SRM 677                            |2       |False
GameOnGraph                             |SRM 677                            |3       |False
WaterTank                               |SRM 676                            |1       |True 
BoardEscape                             |SRM 676                            |2       |True 
Farmville                               |SRM 676                            |3       |False
TreeAndPathLength3                      |SRM 675                            |1       |True 
LimitedMemorySeries1                    |SRM 675                            |2       |True 
BichromeSky2                            |SRM 675                            |3       |False
VampireTree                             |SRM 674                            |1       |True 
FindingKids                             |SRM 674                            |2       |False
ClassicProblem                          |SRM 674                            |3       |False
BearCavalry                             |SRM 673                            |1       |False
BearPermutations                        |SRM 673                            |2       |False
BearGirls                               |SRM 673                            |3       |False
Jumps                                   |2015 TCO Final                     |1       |False
FrogsOnGrid                             |2015 TCO Final                     |2       |False
DemocraticAssignment                    |2015 TCO Final                     |3       |False
ConsecutiveFloors                       |2015 TCO Semifinal                 |1       |False
FoxAirline                              |2015 TCO Semifinal                 |2       |False
DoubleOrOne                             |2015 TCO Semifinal                 |3       |False
BearFills                               |2015 TCO Parallel 3B               |1       |False
BearEats                                |2015 TCO Parallel 3B               |2       |False
CommutativeMapping                      |2015 TCO Parallel 3B               |3       |False
BearFills                               |2015 TCO 3B                        |1       |False
BearEats                                |2015 TCO 3B                        |2       |False
